holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,month,weekday,hour,traffic_volume
none,288.28,0.0,0.0,40,Clouds,October,Tuesday,9,5545
none,289.36,0.0,0.0,75,Clouds,October,Tuesday,10,4516
none,289.58,0.0,0.0,90,Clouds,October,Tuesday,11,4767
none,290.13,0.0,0.0,90,Clouds,October,Tuesday,12,5026
none,291.14,0.0,0.0,75,Clouds,October,Tuesday,13,4918
none,291.72,0.0,0.0,1,Clear,October,Tuesday,14,5181
none,293.17,0.0,0.0,1,Clear,October,Tuesday,15,5584
none,293.86,0.0,0.0,1,Clear,October,Tuesday,16,6015
none,294.14,0.0,0.0,20,Clouds,October,Tuesday,17,5791
none,293.1,0.0,0.0,20,Clouds,October,Tuesday,18,4770
none,290.97,0.0,0.0,20,Clouds,October,Tuesday,19,3539
none,289.38,0.0,0.0,1,Clear,October,Tuesday,20,2784
none,288.61,0.0,0.0,1,Clear,October,Tuesday,21,2361
none,287.16,0.0,0.0,1,Clear,October,Tuesday,22,1529
none,285.45,0.0,0.0,1,Clear,October,Tuesday,23,963
none,284.63,0.0,0.0,1,Clear,October,Wednesday,0,506
none,283.47,0.0,0.0,1,Clear,October,Wednesday,1,321
none,281.18,0.0,0.0,1,Clear,October,Wednesday,2,273
none,281.09,0.0,0.0,1,Clear,October,Wednesday,3,367
none,279.53,0.0,0.0,1,Clear,October,Wednesday,4,814
none,278.62,0.0,0.0,1,Clear,October,Wednesday,5,2718
none,278.23,0.0,0.0,1,Clear,October,Wednesday,6,5673
none,278.12,0.0,0.0,1,Clear,October,Wednesday,8,6511
none,282.48,0.0,0.0,1,Clear,October,Wednesday,9,5471
none,291.97,0.0,0.0,1,Clear,October,Wednesday,12,5097
none,293.23,0.0,0.0,1,Clear,October,Wednesday,13,4887
none,294.31,0.0,0.0,1,Clear,October,Wednesday,14,5337
none,295.17,0.0,0.0,1,Clear,October,Wednesday,15,5692
none,295.13,0.0,0.0,1,Clear,October,Wednesday,16,6137
none,293.66,0.0,0.0,20,Clouds,October,Wednesday,18,4623
none,290.65,0.0,0.0,20,Clouds,October,Wednesday,19,3591
none,288.19,0.0,0.0,20,Clouds,October,Wednesday,20,2898
none,287.1,0.0,0.0,1,Clear,October,Wednesday,21,2637
none,286.25,0.0,0.0,1,Clear,October,Wednesday,22,1777
none,285.26,0.0,0.0,1,Clear,October,Wednesday,23,1015
none,284.55,0.0,0.0,1,Clear,October,Thursday,0,598
none,283.47,0.0,0.0,1,Clear,October,Thursday,1,369
none,283.17,0.0,0.0,1,Clear,October,Thursday,2,312
none,282.04,0.0,0.0,1,Clear,October,Thursday,3,367
none,281.69,0.0,0.0,1,Clear,October,Thursday,4,835
none,281.32,0.0,0.0,1,Clear,October,Thursday,5,2726
none,280.74,0.0,0.0,1,Clear,October,Thursday,6,5689
none,280.57,0.0,0.0,1,Clear,October,Thursday,7,6990
none,281.86,0.0,0.0,1,Clear,October,Thursday,8,5985
none,284.98,0.0,0.0,1,Clear,October,Thursday,9,5309
none,289.18,0.0,0.0,1,Clear,October,Thursday,10,4603
none,291.55,0.0,0.0,1,Clear,October,Thursday,11,4884
none,294.97,0.0,0.0,1,Clear,October,Thursday,12,5104
none,296.38,0.0,0.0,1,Clear,October,Thursday,13,5178
none,297.32,0.0,0.0,1,Clear,October,Thursday,14,5501
none,298.17,0.0,0.0,1,Clear,October,Thursday,15,5713
none,298.06,0.0,0.0,20,Clouds,October,Thursday,16,6292
none,297.67,0.0,0.0,20,Clouds,October,Thursday,17,6057
none,296.36,0.0,0.0,40,Clouds,October,Thursday,18,4907
none,293.85,0.0,0.0,40,Clouds,October,Thursday,19,3503
none,292.43,0.0,0.0,40,Clouds,October,Thursday,20,3037
none,291.77,0.0,0.0,75,Clouds,October,Thursday,21,2822
none,291.36,0.0,0.0,75,Clouds,October,Thursday,22,1992
none,291.12,0.0,0.0,75,Clouds,October,Thursday,23,1166
none,290.63,0.0,0.0,75,Clouds,October,Friday,0,627
none,290.46,0.0,0.0,40,Clouds,October,Friday,1,388
none,289.26,0.0,0.0,0,Clear,October,Friday,3,368
none,283.21,0.0,0.0,75,Clouds,October,Friday,5,2489
none,282.24,0.0,0.0,90,Clouds,October,Friday,6,5537
none,281.69,0.0,0.0,90,Clouds,October,Friday,7,6628
none,280.57,0.0,0.0,90,Clouds,October,Friday,8,5534
none,280.02,0.0,0.0,75,Clouds,October,Friday,9,5403
none,280.11,0.0,0.0,75,Clouds,October,Friday,10,4770
none,280.0,0.0,0.0,90,Clouds,October,Friday,11,5217
none,280.53,0.0,0.0,90,Clouds,October,Friday,12,5870
none,281.43,0.0,0.0,75,Clouds,October,Friday,13,5967
none,281.78,0.0,0.0,90,Clouds,October,Friday,14,6108
none,281.91,0.0,0.0,90,Clouds,October,Friday,15,6128
none,281.73,0.0,0.0,90,Clouds,October,Friday,16,6069
none,281.42,0.0,0.0,90,Clouds,October,Friday,17,6169
none,280.87,0.0,0.0,90,Clouds,October,Friday,18,5384
none,280.15,0.0,0.0,90,Clouds,October,Friday,19,4063
none,279.78,0.0,0.0,90,Clouds,October,Friday,20,3364
none,279.65,0.0,0.0,75,Clouds,October,Friday,21,2971
none,279.22,0.0,0.0,40,Clouds,October,Friday,22,2450
none,279.06,0.0,0.0,40,Clouds,October,Friday,23,1832
none,278.81,0.0,0.0,90,Clouds,October,Saturday,0,1231
none,278.55,0.0,0.0,90,Clouds,October,Saturday,1,718
none,278.59,0.0,0.0,90,Clouds,October,Saturday,2,545
none,276.99,0.0,0.0,75,Clouds,October,Saturday,4,411
none,276.35,0.0,0.0,20,Clouds,October,Saturday,5,688
none,275.4,0.0,0.0,1,Clear,October,Saturday,6,1352
none,275.17,0.0,0.0,1,Clear,October,Saturday,7,2072
none,274.99,0.0,0.0,1,Clear,October,Saturday,8,3342
none,275.09,0.0,0.0,40,Clouds,October,Saturday,9,4258
none,276.88,0.0,0.0,20,Clouds,October,Saturday,10,4861
none,278.04,0.0,0.0,20,Clouds,October,Saturday,11,5191
none,279.08,0.0,0.0,40,Clouds,October,Saturday,12,5669
none,280.12,0.0,0.0,75,Clouds,October,Saturday,13,5074
none,280.25,0.0,0.0,75,Clouds,October,Saturday,14,5025
none,280.0,0.0,0.0,75,Clouds,October,Saturday,15,5153
none,279.06,0.0,0.0,90,Clouds,October,Saturday,16,5024
none,278.91,0.0,0.0,90,Clouds,October,Saturday,17,4779
none,278.39,0.0,0.0,90,Clouds,October,Saturday,18,4362
none,278.16,0.0,0.0,90,Clouds,October,Saturday,19,3860
none,278.16,0.0,0.0,90,Clouds,October,Saturday,20,3160
none,277.93,0.0,0.0,90,Clouds,October,Saturday,21,2992
none,276.9,0.0,0.0,90,Clouds,October,Saturday,22,3202
none,276.34,0.0,0.0,75,Clouds,October,Saturday,23,1941
none,276.11,0.0,0.0,75,Clouds,October,Sunday,0,1233
none,275.73,0.0,0.0,90,Clouds,October,Sunday,3,323
none,275.65,0.0,0.0,90,Clouds,October,Sunday,4,312
none,275.51,0.0,0.0,75,Clouds,October,Sunday,5,627
none,275.05,0.0,0.0,90,Clouds,October,Sunday,6,1508
none,274.77,0.0,0.0,90,Clouds,October,Sunday,7,1539
none,274.77,0.0,0.0,75,Clouds,October,Sunday,8,2232
none,275.55,0.0,0.0,75,Clouds,October,Sunday,9,4568
none,276.24,0.0,0.0,75,Clouds,October,Sunday,10,4624
none,277.01,0.0,0.0,90,Clouds,October,Sunday,11,4529
none,277.43,0.0,0.0,90,Clouds,October,Sunday,12,5139
none,278.45,0.0,0.0,90,Clouds,October,Sunday,13,6640
none,279.27,0.0,0.0,90,Clouds,October,Sunday,14,6589
none,279.27,0.0,0.0,90,Clouds,October,Sunday,15,4429
none,279.44,0.0,0.0,90,Clouds,October,Sunday,16,4329
none,279.32,0.0,0.0,90,Clouds,October,Sunday,17,3833
none,279.27,0.0,0.0,90,Clouds,October,Sunday,18,4015
none,278.11,0.0,0.0,90,Clouds,October,Sunday,19,3382
none,276.79,0.0,0.0,75,Clouds,October,Sunday,20,2815
none,275.73,0.0,0.0,90,Clouds,October,Sunday,21,2110
none,274.88,0.0,0.0,75,Clouds,October,Sunday,22,1555
none,273.92,0.0,0.0,20,Clouds,October,Sunday,23,959
Columbus Day,273.08,0.0,0.0,20,Clouds,October,Monday,0,455
none,272.62,0.0,0.0,20,Clouds,October,Monday,1,336
none,271.78,0.0,0.0,1,Clear,October,Monday,2,265
none,271.05,0.0,0.0,1,Clear,October,Monday,3,314
none,270.63,0.0,0.0,1,Clear,October,Monday,4,779
none,270.33,0.0,0.0,1,Clear,October,Monday,5,2571
none,269.61,0.0,0.0,20,Clouds,October,Monday,6,5563
none,270.01,0.0,0.0,20,Clouds,October,Monday,7,6676
none,271.23,0.0,0.0,20,Clouds,October,Monday,8,5966
none,273.71,0.0,0.0,20,Clouds,October,Monday,9,4832
none,276.77,0.0,0.0,20,Clouds,October,Monday,10,4395
none,279.47,0.0,0.0,20,Clouds,October,Monday,11,4411
none,279.84,0.0,0.0,1,Clear,October,Monday,12,4648
none,282.34,0.0,0.0,40,Clouds,October,Monday,13,4602
none,282.94,0.0,0.0,40,Clouds,October,Monday,14,5125
none,283.48,0.0,0.0,1,Clear,October,Monday,15,5502
none,284.33,0.0,0.0,1,Clear,October,Monday,16,5979
none,284.48,0.0,0.0,40,Clouds,October,Monday,17,5663
none,284.23,0.0,0.0,40,Clouds,October,Monday,18,4259
none,281.99,0.0,0.0,20,Clouds,October,Monday,19,3069
none,279.81,0.0,0.0,1,Clear,October,Monday,20,2378
none,279.35,0.0,0.0,1,Clear,October,Monday,21,2030
none,278.9,0.0,0.0,1,Clear,October,Monday,22,1400
none,278.46,0.0,0.0,1,Clear,October,Monday,23,917
none,277.78,0.0,0.0,1,Clear,October,Tuesday,0,515
none,277.27,0.0,0.0,1,Clear,October,Tuesday,1,302
none,277.47,0.0,0.0,1,Clear,October,Tuesday,2,251
none,276.97,0.0,0.0,20,Clouds,October,Tuesday,4,798
none,276.52,0.0,0.0,40,Clouds,October,Tuesday,5,2678
none,276.6,0.0,0.0,40,Clouds,October,Tuesday,6,5733
none,277.31,0.0,0.0,75,Clouds,October,Tuesday,7,6449
none,278.38,0.0,0.0,90,Clouds,October,Tuesday,8,5765
none,279.35,0.0,0.0,90,Clouds,October,Tuesday,9,5599
none,281.37,0.0,0.0,90,Clouds,October,Tuesday,10,4534
none,283.11,0.0,0.0,90,Clouds,October,Tuesday,11,4691
none,284.08,0.0,0.0,75,Clouds,October,Tuesday,12,5067
none,285.14,0.0,0.0,75,Clouds,October,Tuesday,13,5030
none,286.35,0.0,0.0,90,Clouds,October,Tuesday,14,5300
none,287.23,0.0,0.0,100,Rain,October,Tuesday,15,5777
none,288.53,0.0,0.0,90,Clouds,October,Tuesday,16,6349
none,290.37,0.0,0.0,90,Clouds,October,Tuesday,17,6127
none,290.13,0.0,0.0,90,Clouds,October,Tuesday,18,4460
none,288.86,0.0,0.0,75,Clouds,October,Tuesday,19,3418
none,287.36,0.0,0.0,90,Clouds,October,Tuesday,20,2775
none,285.11,0.0,0.0,90,Clouds,October,Tuesday,21,2306
none,283.46,0.0,0.0,90,Clouds,October,Tuesday,22,1846
none,282.45,0.0,0.0,90,Clouds,October,Tuesday,23,947
none,281.88,0.0,0.0,90,Clouds,October,Wednesday,0,494
none,281.78,0.0,0.0,90,Clouds,October,Wednesday,1,332
none,281.09,0.0,0.0,75,Clouds,October,Wednesday,2,261
none,281.17,0.0,0.0,90,Clouds,October,Wednesday,3,361
none,281.25,0.0,0.0,92,Clear,October,Wednesday,6,5875
none,281.25,0.0,0.0,99,Rain,October,Wednesday,7,6793
none,281.25,0.0,0.0,99,Drizzle,October,Wednesday,7,6793
none,280.1,0.0,0.0,99,Rain,October,Wednesday,8,6283
none,280.1,0.0,0.0,99,Drizzle,October,Wednesday,8,6283
none,279.61,0.0,0.0,99,Rain,October,Wednesday,9,5680
none,279.61,0.0,0.0,99,Drizzle,October,Wednesday,9,5680
none,279.67,0.0,0.0,99,Clear,October,Wednesday,10,4632
none,280.19,0.0,0.0,1,Clear,October,Wednesday,11,4887
none,282.09,0.0,0.0,75,Clouds,October,Wednesday,12,5030
none,282.26,0.0,0.0,75,Clouds,October,Wednesday,13,5067
none,282.05,0.0,0.0,90,Clouds,October,Wednesday,14,5227
none,281.59,0.0,0.0,90,Clouds,October,Wednesday,15,5610
none,281.23,0.0,0.0,81,Clear,October,Wednesday,16,6286
none,282.6,0.0,0.0,81,Clear,October,Wednesday,18,4775
none,282.6,0.0,0.0,81,Clear,October,Wednesday,19,3340
none,282.6,0.0,0.0,81,Clear,October,Wednesday,20,3013
none,282.6,0.0,0.0,81,Clear,October,Wednesday,21,2603
none,282.6,0.0,0.0,81,Clear,October,Wednesday,22,1910
none,282.6,0.0,0.0,81,Clear,October,Wednesday,23,1037
none,273.9,0.0,0.0,1,Clear,October,Thursday,1,347
none,274.4,0.0,0.0,75,Clouds,October,Thursday,3,350
none,274.05,0.0,0.0,75,Clouds,October,Thursday,4,850
none,273.71,0.0,0.0,40,Clouds,October,Thursday,5,2791
none,272.66,0.0,0.0,1,Clear,October,Thursday,6,5809
none,272.65,0.0,0.0,1,Clear,October,Thursday,7,6798
none,272.52,0.0,0.0,1,Clear,October,Thursday,8,6304
none,275.19,0.0,0.0,20,Clouds,October,Thursday,9,5291
none,275.34,0.0,0.0,1,Clear,October,Thursday,10,4638
none,284.1,0.0,0.0,50,Clear,October,Thursday,14,5557
none,284.1,0.0,0.0,50,Clear,October,Thursday,15,5818
none,283.78,0.0,0.0,75,Clouds,October,Thursday,16,6272
none,283.52,0.0,0.0,75,Clouds,October,Thursday,17,5944
none,283.32,0.0,0.0,90,Clouds,October,Thursday,18,4949
none,282.06,0.0,0.0,90,Clouds,October,Thursday,19,3511
none,281.95,0.0,0.0,90,Clouds,October,Thursday,20,3039
none,281.81,0.0,0.0,90,Clouds,October,Thursday,21,2679
none,282.16,0.0,0.0,90,Clouds,October,Thursday,22,2094
none,282.53,0.0,0.0,90,Clouds,October,Thursday,23,1284
none,283.91,0.0,0.0,90,Clouds,October,Friday,0,630
none,284.64,0.0,0.0,90,Clouds,October,Friday,1,410
none,284.61,0.0,0.0,90,Clouds,October,Friday,2,331
none,283.18,0.0,0.0,72,Drizzle,October,Friday,3,372
none,282.26,0.0,0.0,72,Rain,October,Friday,4,739
none,280.77,0.0,0.0,72,Drizzle,October,Friday,5,2561
none,278.53,0.0,0.0,75,Clouds,October,Friday,6,5586
none,277.64,0.0,0.0,75,Clouds,October,Friday,7,6992
none,277.9,0.0,0.0,90,Clouds,October,Friday,8,5860
none,278.18,0.0,0.0,90,Clouds,October,Friday,9,5230
none,279.29,0.0,0.0,75,Clouds,October,Friday,10,4864
none,280.45,0.0,0.0,75,Clouds,October,Friday,11,5146
none,280.95,0.0,0.0,40,Clouds,October,Friday,12,5526
none,281.74,0.0,0.0,40,Clouds,October,Friday,13,5383
none,281.84,0.0,0.0,75,Clouds,October,Friday,14,5758
none,282.45,0.0,0.0,75,Clouds,October,Friday,15,5889
none,282.2,0.0,0.0,75,Clouds,October,Friday,16,6057
none,281.54,0.0,0.0,40,Clouds,October,Friday,17,6028
none,280.21,0.0,0.0,20,Clouds,October,Friday,18,5257
none,282.2,0.0,0.0,56,Clear,October,Friday,23,1897
none,272.58,0.0,0.0,1,Clear,October,Saturday,0,1335
none,272.06,0.0,0.0,1,Clear,October,Saturday,1,769
none,270.99,0.0,0.0,1,Clear,October,Saturday,2,570
none,270.29,0.0,0.0,20,Clouds,October,Saturday,3,413
none,269.48,0.0,0.0,1,Clear,October,Saturday,4,399
none,269.27,0.0,0.0,1,Clear,October,Saturday,5,740
none,268.91,0.0,0.0,1,Clear,October,Saturday,6,1420
none,268.98,0.0,0.0,75,Clouds,October,Saturday,7,2220
none,269.23,0.0,0.0,40,Clouds,October,Saturday,8,3479
none,272.61,0.0,0.0,40,Clouds,October,Saturday,9,4546
none,276.78,0.0,0.0,20,Clouds,October,Saturday,10,4579
none,279.22,0.0,0.0,1,Clear,October,Saturday,11,4438
none,280.35,0.0,0.0,1,Clear,October,Saturday,12,4623
none,281.81,0.0,0.0,1,Clear,October,Saturday,13,4440
none,283.05,0.0,0.0,1,Clear,October,Saturday,14,4495
none,283.96,0.0,0.0,1,Clear,October,Saturday,15,4483
none,284.53,0.0,0.0,1,Clear,October,Saturday,16,4591
none,284.44,0.0,0.0,1,Clear,October,Saturday,17,4477
none,283.64,0.0,0.0,1,Clear,October,Saturday,18,4221
none,281.85,0.0,0.0,20,Clouds,October,Saturday,19,3672
none,281.38,0.0,0.0,1,Clear,October,Saturday,20,3015
none,281.84,0.0,0.0,75,Clouds,October,Saturday,21,2769
none,282.23,0.0,0.0,90,Clouds,October,Saturday,22,2875
none,282.18,0.0,0.0,90,Clouds,October,Saturday,23,1931
none,282.49,0.0,0.0,90,Clouds,October,Sunday,0,1309
none,282.54,0.0,0.0,90,Clouds,October,Sunday,1,870
none,282.58,0.0,0.0,90,Clouds,October,Sunday,2,654
none,282.23,0.0,0.0,90,Clouds,October,Sunday,3,364
none,282.08,0.0,0.0,90,Clouds,October,Sunday,4,262
none,282.23,0.0,0.0,90,Clouds,October,Sunday,5,505
none,282.24,0.0,0.0,90,Clouds,October,Sunday,6,861
none,282.24,0.0,0.0,90,Clouds,October,Sunday,7,1132
none,282.24,0.0,0.0,57,Mist,October,Sunday,8,1797
none,282.43,0.0,0.0,57,Drizzle,October,Sunday,9,2685
none,282.43,0.0,0.0,57,Mist,October,Sunday,9,2685
none,282.43,0.0,0.0,57,Haze,October,Sunday,9,2685
none,282.33,0.0,0.0,57,Drizzle,October,Sunday,10,3370
none,282.33,0.0,0.0,57,Mist,October,Sunday,10,3370
none,282.82,0.0,0.0,57,Drizzle,October,Sunday,11,3662
none,282.82,0.0,0.0,57,Mist,October,Sunday,11,3662
none,283.33,0.0,0.0,57,Mist,October,Sunday,12,4076
none,283.33,0.0,0.0,57,Rain,October,Sunday,12,4076
none,283.33,0.0,0.0,57,Drizzle,October,Sunday,12,4076
none,283.75,0.0,0.0,93,Rain,October,Sunday,13,4128
none,283.75,0.0,0.0,93,Mist,October,Sunday,13,4128
none,283.75,0.0,0.0,93,Drizzle,October,Sunday,13,4128
none,284.09,0.0,0.0,93,Mist,October,Sunday,14,4358
none,284.09,0.0,0.0,93,Rain,October,Sunday,14,4358
none,284.09,0.0,0.0,93,Drizzle,October,Sunday,14,4358
none,284.55,0.0,0.0,93,Mist,October,Sunday,15,4342
none,284.55,0.0,0.0,93,Rain,October,Sunday,15,4342
none,284.68,0.0,0.0,93,Mist,October,Sunday,16,4234
none,284.64,0.0,0.0,93,Rain,October,Sunday,17,4271
none,284.64,0.0,0.0,93,Mist,October,Sunday,17,4271
none,284.4,0.0,0.0,93,Mist,October,Sunday,18,4080
none,284.17,0.0,0.0,93,Mist,October,Sunday,19,3453
none,284.03,0.0,0.0,93,Mist,October,Sunday,20,2718
none,283.58,0.0,0.0,93,Mist,October,Sunday,21,2439
none,283.04,0.0,0.0,93,Mist,October,Sunday,22,1819
none,281.95,0.0,0.0,93,Mist,October,Sunday,23,1002
none,281.95,0.0,0.0,93,Fog,October,Sunday,23,1002
none,281.61,0.0,0.0,93,Mist,October,Monday,0,542
none,281.61,0.0,0.0,93,Fog,October,Monday,0,542
none,281.57,0.0,0.0,85,Fog,October,Monday,1,303
none,281.42,0.0,0.0,85,Fog,October,Monday,2,239
none,281.29,0.0,0.0,85,Mist,October,Monday,3,335
none,281.29,0.0,0.0,85,Fog,October,Monday,3,335
none,281.02,0.0,0.0,85,Mist,October,Monday,4,810
none,281.02,0.0,0.0,85,Fog,October,Monday,4,810
none,280.82,0.0,0.0,85,Mist,October,Monday,5,2606
none,280.82,0.0,0.0,85,Fog,October,Monday,5,2606
none,280.39,0.0,0.0,85,Mist,October,Monday,6,5714
none,280.19,0.0,0.0,100,Mist,October,Monday,7,6798
none,279.82,0.0,0.0,100,Mist,October,Monday,8,6114
none,279.75,0.0,0.0,100,Mist,October,Monday,9,5094
none,280.07,0.0,0.0,100,Mist,October,Monday,10,4473
none,280.32,0.0,0.0,90,Clouds,October,Monday,11,4529
none,281.72,0.0,0.0,100,Clear,October,Monday,12,4823
none,284.01,0.0,0.0,40,Clouds,October,Monday,13,4872
none,285.88,0.0,0.0,1,Clear,October,Monday,14,5238
none,286.87,0.0,0.0,1,Clear,October,Monday,15,5584
none,287.6,0.0,0.0,20,Clouds,October,Monday,16,6246
none,287.27,0.0,0.0,20,Clouds,October,Monday,17,5957
none,286.18,0.0,0.0,20,Clouds,October,Monday,18,4535
none,285.2,0.0,0.0,75,Clouds,October,Monday,19,3234
none,284.68,0.0,0.0,75,Clouds,October,Monday,20,2677
none,284.49,0.0,0.0,90,Clouds,October,Monday,21,2077
none,283.54,0.0,0.0,20,Clouds,October,Monday,22,1380
none,282.33,0.0,0.0,75,Clouds,October,Monday,23,927
none,281.21,0.0,0.0,20,Clouds,October,Tuesday,0,500
none,279.87,0.0,0.0,1,Clear,October,Tuesday,1,324
none,278.93,0.0,0.0,1,Clear,October,Tuesday,2,257
none,277.91,0.0,0.0,1,Clear,October,Tuesday,3,354
none,277.21,0.0,0.0,1,Clear,October,Tuesday,4,769
none,276.61,0.0,0.0,1,Clear,October,Tuesday,5,2769
none,276.11,0.0,0.0,1,Clear,October,Tuesday,6,5789
none,274.81,0.0,0.0,20,Clouds,October,Tuesday,7,7055
none,274.99,0.0,0.0,20,Clouds,October,Tuesday,8,6408
none,277.91,0.0,0.0,20,Clouds,October,Tuesday,9,5254
none,280.71,0.0,0.0,20,Clouds,October,Tuesday,10,4547
none,283.85,0.0,0.0,20,Clouds,October,Tuesday,11,4784
none,286.01,0.0,0.0,40,Clouds,October,Tuesday,12,5015
none,286.31,0.0,0.0,1,Clear,October,Tuesday,13,5057
none,288.15,0.0,0.0,75,Clouds,October,Tuesday,14,5430
none,289.15,0.0,0.0,75,Clouds,October,Tuesday,15,5813
none,288.99,0.0,0.0,75,Clouds,October,Tuesday,16,6496
none,288.86,0.0,0.0,75,Clouds,October,Tuesday,17,6429
none,288.16,0.0,0.0,90,Clouds,October,Tuesday,18,5142
none,287.28,0.0,0.0,68,Rain,October,Tuesday,19,3311
none,287.04,0.0,0.0,90,Clouds,October,Tuesday,20,2777
none,286.9,0.0,0.0,90,Clouds,October,Tuesday,21,2331
none,287.09,0.0,0.0,90,Clouds,October,Tuesday,22,1767
none,287.09,0.0,0.0,90,Clouds,October,Tuesday,23,1093
none,286.89,0.0,0.0,75,Clouds,October,Wednesday,0,554
none,286.93,0.0,0.0,75,Clouds,October,Wednesday,1,333
